idtaxi;endereco;telefone;longitude;latitude
11970;R GUILHERME SHELL 268;0;-51,2074;-30,0553
11971;R DOMINGOS CRESCENCIO 358;0;-51,2069;-30,0493
11972;R VICENTE DA FONTOURA 1164;0;-51,2031;-30,0494
11973;R MADRE ANA 314;0;-51,1987;-30,0787
11974;R SAO MIGUEL 220;0;-51,1926;-30,0726
11975;R VERISSIMO ROSA 44;0;-51,1958;-30,0576
11976;R MONTEIRO LOBATO 236;0;-51,1972;-30,0541
11977;R GAL TIBURCIO 50;0;-51,1953;-30,0496
11978;R DR JOSE FERREIRA DA SILVA 100;0;-51,1876;-30,0626
11979;AV BENTO GONCALVES 2905;0;-51,1859;-30,0634
11980;AV APARICIO CEL BORGES 2700;0;-51,1857;-30,0636
11981;R PORTUGUESA 10;0;-51,1905;-30,0552
11982;R VALPARAISO 539;0;-51,1886;-30,0536
11983;R DEZOITO DE SETEMBRO 199;0;-51,1865;-30,0562
11984;R ITABORAY 677;0;-51,1871;-30,0513
11985;R FELIZARDO 300;0;-51,1867;-30,0502
11986;R FELIZARDO FURTADO 649;0;-51,1845;-30,0506
11987;AV AZENHA 366;0;-51,2138;-30,0473
11988;AV IPIRANGA 1801;0;-51,2129;-30,0478
11989;AV IPIRANGA 1801;0;-51,2129;-30,0478
11990;AV JOAO PESSOA 1788;0;-51,213;-30,0455
11991;R JERONIMO DE ORNELLAS 14;0;-51,2146;-30,0435
11992;AV VENANCIO AIRES 355;0;-51,2164;-30,0414
11993;AV PRINCESA ISABEL 395;0;-51,2083;-30,0484
11994;R JERONIMO DE ORNELLAS 287;0;-51,212;-30,0419
11995;R SANTA TERESINHA 79;0;-51,211;-30,038
11996;R SANTA TERESINHA 450;0;-51,2102;-30,0408
11997;R JERONIMO DE ORNELAS 601;0;-51,2094;-30,0405
11998;R AUGUSTO PESTANA 10;0;-51,2093;-30,0372
11999;AV VENANCIO AIRES 1355;0;-51,2093;-30,0372
12000;R FERNANDES VIEIRA 345;0;-51,211;-30,033
12001;AV JOSE BONIFACIO 753;0;-51,2102;-30,0364
12002;R RAMIRO BARCELOS 1859;0;-51,2083;-30,0355
12003;AV PRINCESA ISABEL 771;0;-51,2062;-30,0474
12004;R SAO LUIS 96;0;-51,2067;-30,0444
12005;R SAO MANOEL 1213;0;-51,2045;-30,0448
12006;R VICENTE DA FONTOURA 1500;0;-51,2001;-30,0478
12007;R RAMIRO BARCELOS 2350;0;-51,2075;-30,0388
12008;R GIORDANO BRUNO 388;0;-51,2066;-30,0372
12009;R CABRAL 15;0;-51,2082;-30,033
12010;R MIGUEL TOSTES 621;0;-51,2056;-30,0338
12011;R CEL PAULINO TEIXEIRA 423;0;-51,2031;-30,0384
12012;R JOAO GUIMARAES 87;0;-51,2017;-30,0391
12013;R PROF DUPLAN 14;0;-51,2011;-30,0391
12014;R IRMAO JOSE OTAO 190;0;-51,2164;-30,0308
12015;AV INDEPENDENCIA 581;0;-51,2155;-30,0295
12016;R SANTO ANTONIO 782;0;-51,2142;-30,0316
12017;R IRMAO JOSE OTAO 540;0;-51,214;-30,0313
12018;AV INDEPENDENCIA 813;0;-51,2129;-30,0296
